"siren","nom","url_platform","id_datagouv","techno_platform"
213401201,"JACOU","http://data.montpellier3m.fr/datasets/commune/jacou",,"DKAN"
210500682,"JARJAYES",,"60700e77c0705e049e58e349","DataGouv"
216402834,"JAXU",,"5e53cddb634f4113415b3a67","DataGouv"
223900010,"JURA","https://trouver.ternum-bfc.fr/organization/departement-du-jura",,"CKAN"
213401235,"JUVIGNAC","http://data.montpellier3m.fr/datasets/commune/juvignac",,"DKAN"
216402859,"JUXUE",,"6172a126670bb6f35892e057","DataGouv"
487875593,"KEOLIS AGEN",,"5bfe67b8634f4121765f58f3","DataGouv"
313151110,"KEOLIS ARRAS",,"630f2920fe9bfd5b83019f65","DataGouv"
804363521,"KEOLIS BUS VERTS",,"5d13756e8b4c415ad792a83e","DataGouv"
572028660,"KEOLIS CAEN",,"5c09189f8b4c414a8d02298e","DataGouv"
523576395,"KEOLIS CHAUMONT",,"5c5063ec8b4c412d63742601","DataGouv"
844404392,"KEOLIS MENTON RIVIERA",,"5ea19ef9a0a58ece59bee631","DataGouv"
340035526,"KEOLIS RENNES","https://data.explore.star.fr/explore/?refine.publisher=STAR",,"OpenDataSoft"
814870853,"KICEO CTGMVA",,"5a6f24a4c751df613f36c422","DataGouv"
210500062,"L'ARGENTIERE-LA-BESSEE",,"61766f4bd9079ddb2f449420","DataGouv"
210500187,"LA BATIE-VIEILLE",,,"DataGouv"
214400558,"LA BAULE ESCOUBLAC","https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=La+Baule-Escoublac",,"OpenDataSoft"
215901430,"LA CHAPELLE D'ARMENTIERES",,"5b518bb188ee3863608f3fac","DataGouv"
214400301,"LA CHAPELLE DES MARAIS","https://data.agglo-carene.fr/explore/?refine.publisher=La+Chapelle+des+Marais",,"OpenDataSoft"
210500542,"LA FARE-EN-CHAMPSAUR",,"607ea662901ad2fe433b202d","DataGouv"
210600656,"LA GAUDE",,"5ba9f0bb634f416762d56c0c","DataGouv"
213502032,"LA NOUAYE",,"5b3495d188ee382f97297bdc","DataGouv"
219740081,"LA POSSESSION",,"628722284e76ad177484c90a","DataGouv"
239740012,"LA REUNION","https://data.regionreunion.com/explore/?disjunctive.theme&disjunctive.modified&disjunctive.publisher&sort=modified&refine.publisher=Conseil+Régional+La+Réunion",,"OpenDataSoft"
210501227,"LA ROCHE DE RAME",,"61766fc90f40567e035bb3f3","DataGouv"
218501914,"LA ROCHE SUR YON","https://data.larochesuryon.fr/explore/?refine.publisher=Ville+de+la+Roche-sur-Yon",,"OpenDataSoft"
210501235,"LA ROCHE-DES-ARNAUDS",,"637b24d09ddbcaf77c3605a2","DataGouv"
211703004,"LA ROCHELLE","https://opendata.agglo-larochelle.fr/portail?facet.field=","5821930b88ee386862c65bb3","CKAN, DataGouv"
218301265,"LA SEYNE SUR MER","https://opendata.sictiam.fr/fr/organization/mairie-de-la-seyne-sur-mer",,"CKAN"
211704523,"LA TREMBLADE",,"5c8a2ec6634f411c5580a72b","DataGouv"
212203855,"LA VICOMTE SUR RANCE","http://datarmor.cotesdarmor.fr/web/guest/donnees",,"Hop'n Data"
216402941,"LABETS-BISCAY",,"619cffdb7255585b14d4dbea","DataGouv"
216402974,"LACARRE",,"5e737cd7dbab7593c0db3802","DataGouv"
214001380,"LACRABE",,,"DataGouv"
213501406,"LALLEU","https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-lalleu/",,
218802585,"LAMARCHE",,"5d6629786f444132f99e032c","DataGouv"
215903287,"LAMBERSART",,"60a4cc2104da0aa02e09dfe1","DataGouv"
212200943,"LANCIEUX","http://datarmor.cotesdarmor.fr/donnees",,"Hop'n Data"
215600982,"LANESTER","https://www.opendata56.fr/explore/?refine.publisher=Ville+de+Lanester","59d6526ac751df274a175d35","OpenDataSoft, DataGouv"
212201107,"LANMERIN","https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-lanmerin/",,
212901136,"LANMEUR","https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-lanmeur/",,
212201131,"LANNION","http://datarmor.cotesdarmor.fr/web/guest/donnees",,"Hop'n Data"
216403139,"LANTABAT",,"61489458d5f7754d3b10b4fb","DataGouv"
213302300,"LAPOUYADE",,"60bf3f485f792de65b2074a5","DataGouv"
210500716,"LARDIER-ET-VALENÇA",,"6036054abe0b09d8b1cee790","DataGouv"
215601071,"LARMOR PLAGE","https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-larmor-plage/",,
216403196,"LARRIBAR-SORHAPURU",,"61e98d49cd8a465a216ee37a","DataGouv"
213401292,"LATTES","http://data.montpellier3m.fr/datasets/commune/lattes",,"DKAN"
213401342,"LAVERUNE","http://data.montpellier3m.fr/datasets/commune/lav%C3%A9rune",,"DKAN"
210500724,"LAYE",,"62304be473e2123059d8ae16","DataGouv"
219101797,"LE COUDRAY MONTCEAUX","https://data.coudray-montceaux.fr/explore/?refine.publisher=Mairie+du+Coudray-Montceaux",,"OpenDataSoft"
213400906,"LE CRES","http://data.montpellier3m.fr/datasets/commune/le-cr%C3%A8s",,"DKAN"
214400491,"LE CROISIC","https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Le+Croisic",,"OpenDataSoft"
200033694,"LE DEVOLUY",,"602d591728499d0394fe6c0a","DataGouv"
210500625,"LE GLAIZIL",,"60361733543b34c5495f7616","DataGouv"
217603513,"LE HAVRE","https://data.lehavreseinemetropole.fr/#","5a3a7cd8c751df3092aea45a","Spécifique, DataGouv"
217201813,"LE MANS","https://data-lmm.opendata.arcgis.com/search",,"ArcGIS"
503486870,"LE MOTIF - OBSERVATOIRE DU LIVRE ET DE L'ECRIT","https://data.iledefrance.fr/explore/?refine.publisher=MOTif",,"OpenDataSoft"
210500955,"LE NOYER",,"6040b3353f4d38fc6263c432","DataGouv"
214702011,"LE PASSAGE",,"5ab24b9188ee385d43b29616","DataGouv"
214401200,"LE PELLERIN","https://data.nantesmetropole.fr/explore/?refine.publisher=Le+Pellerin",,"OpenDataSoft"
219400587,"LE PERREUX SUR MARNE",,"534fff85a3a7292c64a77ea9","DataGouv"
213601594,"LE POINCONNET","https://data.centrevaldeloire.fr/explore/?q=le+poin%C3%A7onnet&sort=explore.popularity_score","618292126ca6738c405a64a9","OpenDataSoft, DataGouv"
214401358,"LE POULIGUEN","https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Le+Pouliguen",,"OpenDataSoft"
218300986,"LE PRADET",,"58f5d64788ee3847b91e4f32","DataGouv"
210501631,"LE SAUZE-DU-LAC",,,"DataGouv"
212901235,"LENNON","https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-lennon/",,
219300456,"LES LILAS",,"534fff86a3a7292c64a77eab","DataGouv"
210500989,"LES ORRES",,,"DataGouv"
210402202,"LES THUILES",,,"DataGouv"
210501805,"LES VIGNEAUX",,"610318260a97a72bae32d708","DataGouv"
219200441,"LEVALLOIS",,"5afd51bfc751df62ae0b80ff","DataGouv"
213302433,"LIBOURNE","https://data.libourne.fr/portail?facet.field=",,"CKAN"
217702513,"LIEUSAINT","https://data.ville-lieusaint.fr/explore/?sort=title&refine.publisher=Mairie+de+Lieusaint",,"OpenDataSoft"
413095811,"LIG'AIR","https://data-ligair.opendata.arcgis.com/datasets","5be949a9634f415deb46af0e","ArcGIS, DataGouv"
254402738,"LILA PRESQU'ILE","https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Lila+Presqu%27ile",,"OpenDataSoft"
215903501,"LILLE","https://opendata.lillemetropole.fr/explore/?refine.publisher=Ville+de+Lille","58b69c62c751df4b175dd7a4","OpenDataSoft, DataGouv"
210401048,"LIMANS",,"5fd22e1969f505d699054d5b","DataGouv"
218708501,"LIMOGES","https://sig-ville-limoges.opendata.arcgis.com","54acf7fcc751df4851de6536",
216901165,"LIMONEST","https://data.grandlyon.com/jeux-de-donnees?responsibleParty.organisationName=Commune%20de%20Limonest,Ville%20de%20Limonest",,"GeoNetwork"
211403662,"LISIEUX",,"57835411c751df7f2ef3855e","DataGouv"
219103405,"LISSES","https://lisses-grandparissud.opendatasoft.com/explore/?sort=modified&refine.publisher=Ville+de+Lisses",,"OpenDataSoft"
224100016,"LOIR ET CHER","https://departement41-centrevaldeloire.opendatasoft.com/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.features&sort=explore.popularity_score&refine.publisher=CD41","534fff68a3a7292c64a77d8a","OpenDataSoft, DataGouv"
224400028,"LOIRE ATLANTIQUE","https://data.loire-atlantique.fr/explore/?refine.publisher=Département+de+Loire-Atlantique","534fff6fa3a7292c64a77dc1","OpenDataSoft, DataGouv"
793698705,"LOIRE ATLANTIQUE DEVELOPPEMENT","https://data.loire-atlantique.fr/explore/?refine.publisher=Loire-Atlantique+Développement","534fff87a3a7292c64a77eb0","OpenDataSoft, DataGouv"
315387209,"LOIRE ATLANTIQUE TOURISME","https://data.loire-atlantique.fr/explore/?refine.publisher=e-SPRIT",,"OpenDataSoft"
224500017,"LOIRET",,"57d90ef4c751df44fb79df72","DataGouv"
218501278,"LONGEVILLE-SUR-MER",,"63720fe3765f3ee7d3c56878","DataGouv"
219103454,"LONGJUMEAU",,"534fff88a3a7292c64a77eb2","DataGouv"
200056091,"LONGUENEE EN ANJOU",,"63733ad109eaa794d101086b","DataGouv"
215903600,"LOOS","https://opendata.lillemetropole.fr/explore/?sort=modified&refine.publisher=Ville+de+Loos","609e8e40d5d435e4228f5d8a","OpenDataSoft, DataGouv"
212901417,"LOQUEFFRET",,"61ab41f7d0add2483f66266c","DataGouv"
215601212,"LORIENT","https://www.opendata56.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Ville+de+Lorient","59e05c6588ee386ef4f4f86d","OpenDataSoft, DataGouv"
224600015,"LOT",,"5ac5c34488ee386e5ad2bb40","DataGouv"
200067460,"LOUDEAC COMMUNAUTE","http://datarmor.cotesdarmor.fr/donnees",,"Hop'n Data"
216403501,"LOUHOSSOA",,"61fa6b8d757c9c81d0c38b85","DataGouv"
212703755,"LOUVIERS",,"53806fe2a3a7297e4d35d6c6","DataGouv"
214001612,"LUBBON",,,"DataGouv"
216403626,"LUXE-SUMBERRAUTE",,"61a612204466c30f754dd42a","DataGouv"
216901231,"LYON","https://data.grandlyon.com/recherche?responsibleParty.organisationName=Ville%20de%20Lyon",,"GeoNetwork"
213601081,"LYS-SAINT-GEORGES",,"637f4ed0c567c89e3b9e8741","DataGouv"
423221795,"MADININAIR","https://data-madininair.opendata.arcgis.com/datasets",,"ArcGIS"
200013704,"MAHINA",,"552d6a09c751df1ed737dddb","DataGouv"
224900019,"MAINE ET LOIRE","https://data.maine-et-loire.fr/explore/?q=&disjunctive.diffuseur&disjunctive.publisher&source=shared&sort=modified&geonav=world%2Fworld_fr%2Ffr_40_52%2Ffr_60_49&geonav-asc&refine.publisher=D%C3%A9partement+de+Maine-et-Loire","5e32cef58b4c411011bd3bab","OpenDataSoft, DataGouv"
399054964,"MAISON DE L'ESTUAIRE DE LA SEINE","https://data.maisondelestuaire.org",,"Spécifique"
844634873,"MALO AGGLO TRANSPORTS",,"5ef0721566bea174e2d08b2c","DataGouv"
217201805,"MAMERS",,"63aebc0be046c0d28d0b9f56","DataGouv"
225005024,"MANCHE",,"534fff67a3a7292c64a77d87",
255003592,"MANCHE NUMERIQUE","https://www.opendata-manche.fr/web/guest/donnees",,
219400470,"MANDRE LES ROSES","https://mandres.data4citizen.com/portail?facet.field=[%22organization%22,%22tags%22,%22theme%22,%22features%22]&rows=10&start=0&fq=organization:(mandres)",,
219200474,"MARNES LA COQUETTE",,"55094e4cc751df601a882846","DataGouv"
213401508,"MARSEILLAN",,"619f6a6f7e3df0247d6a31e1","DataGouv"
211300553,"MARSEILLE","https://trouver.datasud.fr/organization/ville-de-marseille","534fffb8a3a7292c64a7814c","CKAN, DataGouv"
211300561,"MARTIGUES","https://trouver.datasud.fr/organization/ville-de-martigues","5be9467a634f415a8620975f","CKAN, DataGouv"
216403683,"MASPARRAUTE",,"61bc7954e4e9c27a7919dd60","DataGouv"
