type;siren;nom;longitude;latitude
CA;247100589;CA Le Grand Chalon;4.846002;46.792112
CC;247100639;CC de Marcigny;4.039015;46.2727
CC;247100647;CC Bresse Nord Intercom';5.250109;46.885146
CC;247103765;CC Entre Saône et Grosne;4.864782;46.634907
CC;247103864;CC de Semur-en-Brionnais;4.183093;46.286711
CC;247104094;CC Sud Côte Chalonnaise;4.712481;46.714324
CC;247200090;CC Communauté de communes du Pays Sabolien;-0.338763;47.839167
CU;247200132;CU Le Mans Métropole;0.190842;47.993378
CC;247200348;CC du Pays Fléchois;-0.065341;47.69813
CC;247200421;CC du Sud Est Manceau;0.357897;47.924792
CC;247200447;CC Orée de Bercé - Belinois;0.274427;47.822672
CC;247200629;CC du Val de Sarthe;0.067296;47.892547
CC;247200686;CC du Pays de l'Huisne Sarthoise;0.639587;48.18053
CC;247300015;CC des Vallées d'Aigueblanche;6.496153;45.510116
CC;247300254;CC de Haute-Tarentaise;6.8058;45.621224
CC;247300262;CC de Yenne;5.768384;45.705818
CC;247300361;CC du Canton de La Chambre;6.285825;45.340854
CC;247300452;CC Maurienne Galibier;6.481664;45.231838
CC;247300528;CC Val Guiers;5.674294;45.565229
CC;247300668;CC du Lac d'Aiguebelette (CCLA);5.792294;45.585782
CC;247300676;CC Porte de Maurienne;6.314403;45.539162
CC;247300817;CC Les Versants d'Aime;6.62575;45.538585
CC;247400047;CC de la Vallée Verte;6.396802;46.214923
CC;247400112;CC du Pays de Cruseilles;6.107824;46.034085
CC;247400567;CC Fier et Usses;6.037662;45.951443
CC;247400583;CC Arve et Salève;6.267555;46.137173
CC;247400617;CC des Vallées de Thônes;6.323024;45.883413
CC;247400666;CC des Quatre Rivières;6.354544;46.146286
CC;247400682;CC du Haut-Chablais;6.628887;46.27079
CC;247400690;CC du Genevois;6.133299;46.131498
CC;247400724;CC du Pays Rochois;6.289388;46.052781
CC;247400740;CC Rumilly Terre de Savoie;5.93881;45.85642
CC;247400773;CC des Sources du Lac d'Annecy;6.286728;45.73725
CC;247600505;CC Campagne-de-Caux;0.358996;49.651388
CC;247600588;CC des Villes Sœurs;1.423036;50.04029
CC;247600604;CC de Londinières;1.396666;49.837115
CC;247600620;CC Yvetot Normandie;0.765026;49.619674
CC;247600646;CC Caux - Austreberthe;0.944585;49.577216
CC;247600729;CC Falaises du Talou;1.265665;49.899498
CA;247600786;CA de la Région Dieppoise;1.084789;49.919766
CC;247700032;CC Moret Seine et Loing;2.821065;48.356613
CA;247700057;CA Melun Val de Seine;2.659426;48.541342
CC;247700065;CC du Pays de l'Ourcq;3.054174;49.038161
CC;247700107;CC Pays de Montereau;2.9571;48.389786
CA;247700339;CA Val d'Europe Agglomération;2.765862;48.873029
CA;247700594;CA Marne et Gondoire;2.675624;48.845939
CC;247700644;CC l'Orée de la Brie;2.616471;48.689504
CC;247700701;CC Brie Nangissienne;3.019068;48.56085
CC;247800550;CC du Pays Houdanais (C.C.P.H.);1.598546;48.791425
CA;247800584;CA Versailles Grand Parc (C.A.V.G.P.);2.131319;48.803019
CC;247800618;CC Cœur d'Yvelines;1.837047;48.83818
CC;247900798;CC du Thouarsais;-0.233224;46.981613
CC;248000499;CC du Val de Somme;2.506152;49.913248
CA;248000531;CA Amiens Métropole;2.314669;49.895894
CC;248000747;CC du Pays du Coquelicot;2.653772;50.002051
CC;248100158;CC du Sor et de l'Agout;2.176997;43.578164
CA;248100430;CA de Castres Mazamet;2.245631;43.60933
CC;248100497;CC Val 81;2.383883;44.014531
CA;248100737;CA de l'Albigeois (C2A);2.165789;43.927836
CC;248100745;CC Thoré Montagne Noire;2.533795;43.459843
CC;248200016;CC des Deux Rives;0.904345;44.108321
CC;248200057;CC du Quercy Caussadais;1.545108;44.157151
CC;248200065;CC de la Lomagne Tarn-et-Garonnaise;0.993906;43.883205
CA;248200099;CA Grand Montauban;1.363813;44.020606
CC;248200107;CC du Quercy Rouergue et des Gorges de l'Aveyron;1.745793;44.151604
CA;248300394;CA Sud Sainte Baume;5.730793;43.192231
CC;248300410;CC de la Vallée du Gapeau;6.057744;43.189317
CA;248300493;CA Dracénie Provence Verdon Agglomération;6.460296;43.531436
MET;248300543;Métropole Toulon-Provence-Méditerranée;5.933457;43.136385
CC;248300550;CC Cœur du Var;6.299819;43.388363
CA;248400053;CA Ventoux-Comtat-Venaissin (COVE);5.057038;44.062749
CC;248400160;CC Aygues-Ouvèze en Provence (CCAOP);4.891334;44.155112
CC;248400236;CC du Pays Réuni d'Orange;4.834142;44.124027
CA;248400251;CA du Grand Avignon (COGA);4.845053;43.936694
CC;248400285;CC Territoriale Sud-Luberon;5.555028;43.725088
CA;248400293;CA des Sorgues du Comtat;4.986176;44.029925
CC;248400319;CC du Pays des Sorgues et des Monts de Vaucluse;5.058675;43.91503
CC;248400335;CC Vaison Ventoux;5.061432;44.249404
CC;248500191;CC de l'Île de Noirmoutier;-2.261487;47.009472
CC;248500258;CC Océan Marais de Monts;-2.050902;46.795953
CC;248500340;CC Pays de Chantonnay;-1.051061;46.670782
CC;248500415;CC du Pays de la Châtaigneraie;;
CC;248500464;CC du Pays de Pouzauges;-0.825776;46.784281
CC;248500530;CC du Pays des Achards;-1.664149;46.595367
CC;248500563;CC Vendée,Sèvre,Autise;-0.676577;46.419152
CA;248500589;CA La Roche-sur-Yon Agglomération;-1.412585;46.671717
CC;248500621;CC du Pays des Herbiers;-1.028639;46.863236
CC;248500662;CC du Pays de Mortagne;-0.981498;46.95134
CA;248600413;CA Grand Châtellerault;0.550656;46.816282
CC;248600447;CC du Pays Loudunais;0.099976;47.007169
CC;248700189;CC du Pays de Saint-Yrieix;1.20629;45.524869
CC;248719262;CC Gartempe Saint-Pardoux;1.28245;46.131193
CC;248719288;CC du Val de Vienne;1.128024;45.798248
CU;248719312;CU Limoges Métropole;1.221254;45.856159
CC;248719338;CC Briance-Combade;1.61016;45.701106
CC;248719353;CC des Portes de Vassivière;1.718497;45.709647
CC;248719361;CC de Noblat;1.497844;45.840601
CA;248900334;CA du Grand Sénonais;3.292827;48.192954
CC;248900383;CC de l'Agglomération Migennoise;3.522031;47.966219
CC;248900524;CC de l'Aillantais en Bourgogne;3.329859;47.91239
